"Statistic Label","State","Year","UNIT","VALUE"
"Mean Age of First Time- Mothers","State","1990","Years","26.3"
"Mean Age of First Time- Mothers","State","1991","Years","26.3"
"Mean Age of First Time- Mothers","State","1992","Years","26.4"
"Mean Age of First Time- Mothers","State","1993","Years","26.6"
"Mean Age of First Time- Mothers","State","1994","Years","26.8"
"Mean Age of First Time- Mothers","State","1995","Years","27"
"Mean Age of First Time- Mothers","State","1996","Years","27"
"Mean Age of First Time- Mothers","State","1997","Years","27.1"
"Mean Age of First Time- Mothers","State","1998","Years","27.1"
"Mean Age of First Time- Mothers","State","1999","Years","27.2"
"Mean Age of First Time- Mothers","State","2000","Years","27.4"
"Mean Age of First Time- Mothers","State","2001","Years","27.6"
"Mean Age of First Time- Mothers","State","2002","Years","27.8"
"Mean Age of First Time- Mothers","State","2003","Years","28.2"
"Mean Age of First Time- Mothers","State","2004","Years","28.5"
"Mean Age of First Time- Mothers","State","2005","Years","28.7"
"Mean Age of First Time- Mothers","State","2006","Years","28.8"
"Mean Age of First Time- Mothers","State","2007","Years","28.8"
"Mean Age of First Time- Mothers","State","2008","Years","28.9"
"Mean Age of First Time- Mothers","State","2009","Years","29.1"
"Mean Age of First Time- Mothers","State","2010","Years","29.4"
"Mean Age of First Time- Mothers","State","2011","Years","29.8"
"Mean Age of First Time- Mothers","State","2012","Years","30"
"Mean Age of First Time- Mothers","State","2013","Years","30.3"
"Mean Age of First Time- Mothers","State","2014","Years","30.5"
"Mean Age of First Time- Mothers","State","2015","Years","30.6"
"Mean Age of First Time- Mothers","State","2016","Years","30.9"
"Mean Age of First Time- Mothers","State","2017","Years","31"
"Mean Age of First Time- Mothers","State","2018","Years","31.1"
